date,product_id,product_name,category,branch_id,branch_name,order_id,price,promotion_flag,festival_flag,holiday_flag,seasonal_index,total_sales,online_sales,offline_sales,returns_count,cpi,day_of_week,month,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2021-02-12,P001,Men_Tshirt,Male,B001,Bangalore,43,56.64,0,0,0,1.198,93.72,70.9,22.82,3.11,150.64,4,2,85.32,105.8,98.72,97.69571428571429,101.15866666666666
2021-02-13,P001,Men_Tshirt,Male,B001,Bangalore,44,56.39,0,0,0,1.202,100.85,76.3,24.56,3.21,150.64,5,2,93.72,88.62,82.66,99.44285714285714,101.765
2021-02-14,P001,Men_Tshirt,Male,B001,Bangalore,45,56.63,0,0,1,1.206,132.32,100.11,32.22,6.56,150.64,6,2,100.85,123.27,95.55,100.73571428571428,102.99066666666666
2021-02-15,P001,Men_Tshirt,Male,B001,Bangalore,46,58.01,0,0,0,1.21,100.35,75.92,24.43,3.71,150.64,0,2,132.32,108.01,104.16,99.64142857142858,102.86366666666666
2021-02-16,P001,Men_Tshirt,Male,B001,Bangalore,47,56.75,0,0,0,1.213,113.96,86.21,27.75,3.53,150.64,1,2,100.35,90.93,152.53,102.93142857142857,101.57799999999999
2021-02-17,P001,Men_Tshirt,Male,B001,Bangalore,48,58.19,0,0,0,1.217,94.37,71.4,22.98,3.85,150.64,2,2,113.96,94.0,124.0,102.98428571428572,100.59033333333332
2021-02-18,P001,Men_Tshirt,Male,B001,Bangalore,49,59.09,0,0,0,1.221,103.83,78.55,25.28,5.08,150.64,3,2,94.37,85.32,80.06,105.62857142857142,101.38266666666665
2021-02-19,P001,Men_Tshirt,Male,B001,Bangalore,50,57.93,0,0,0,1.224,106.03,80.21,25.81,4.62,150.64,4,2,103.83,93.72,103.8,107.38714285714285,101.45700000000001
2021-02-20,P001,Men_Tshirt,Male,B001,Bangalore,51,57.56,0,0,0,1.227,95.56,72.29,23.27,4.42,150.64,5,2,106.03,100.85,88.97,106.63142857142859,101.67666666666666
2021-02-21,P001,Men_Tshirt,Male,B001,Bangalore,52,58.63,0,0,1,1.231,145.13,109.8,35.34,6.74,150.64,6,2,95.56,132.32,75.85,108.46142857142857,103.986
2021-02-22,P001,Men_Tshirt,Male,B001,Bangalore,53,58.0,0,0,0,1.234,84.72,64.09,20.63,3.01,150.64,0,2,145.13,100.35,98.32,106.22857142857141,103.53266666666666
2021-02-23,P001,Men_Tshirt,Male,B001,Bangalore,54,55.87,0,0,0,1.237,90.69,68.61,22.08,2.79,150.64,1,2,84.72,113.96,130.14,102.90428571428572,102.21766666666666
2021-02-24,P001,Men_Tshirt,Male,B001,Bangalore,55,58.6,0,0,0,1.24,81.32,61.52,19.8,3.51,150.64,2,2,90.69,94.37,125.05,101.03999999999999,100.76
2021-02-25,P001,Men_Tshirt,Male,B001,Bangalore,56,56.2,0,0,0,1.243,111.39,84.27,27.12,4.1,150.64,3,2,81.32,103.83,93.74,102.12,101.34833333333333
2021-02-26,P001,Men_Tshirt,Male,B001,Bangalore,57,55.36,0,0,0,1.246,96.36,72.9,23.46,4.23,150.64,4,2,111.39,106.03,93.47,100.73857142857143,101.44466666666668
2021-02-27,P001,Men_Tshirt,Male,B001,Bangalore,58,57.11,0,0,0,1.249,114.22,86.41,27.81,3.52,150.64,5,2,96.36,95.56,89.29,103.4042857142857,102.27566666666667
2021-02-28,P001,Men_Tshirt,Male,B001,Bangalore,59,57.23,0,0,1,1.252,147.69,111.73,35.96,6.05,150.64,6,2,114.22,145.13,96.03,103.77,103.99766666666666
2021-03-01,P001,Men_Tshirt,Male,B001,Bangalore,60,55.17,0,0,0,1.255,113.47,85.85,27.63,4.71,151.27,0,3,147.69,84.72,115.12,107.87714285714287,103.94266666666667
2021-03-02,P001,Men_Tshirt,Male,B001,Bangalore,61,57.76,1,0,0,1.258,109.66,82.96,26.7,3.84,151.27,1,3,113.47,90.69,131.32,110.58714285714287,103.22066666666666
2021-03-03,P001,Men_Tshirt,Male,B001,Bangalore,62,57.59,0,0,0,1.26,107.76,81.52,26.24,4.44,151.27,2,3,109.66,81.32,85.67,114.36428571428571,103.95699999999998
2021-03-04,P001,Men_Tshirt,Male,B001,Bangalore,63,56.05,0,0,0,1.263,105.25,79.62,25.63,4.71,151.27,3,3,107.76,111.39,92.88,113.48714285714286,104.36933333333333
2021-03-05,P001,Men_Tshirt,Male,B001,Bangalore,64,55.78,0,0,0,1.265,91.82,69.47,22.36,3.74,151.27,4,3,105.25,96.36,85.17,112.83857142857141,104.591
2021-03-06,P001,Men_Tshirt,Male,B001,Bangalore,65,57.24,0,0,0,1.268,82.92,62.73,20.19,2.98,151.27,5,3,91.82,114.22,101.31,108.36714285714287,103.97800000000001
2021-03-07,P001,Men_Tshirt,Male,B001,Bangalore,66,57.18,0,0,1,1.27,148.77,112.55,36.22,6.48,151.27,6,3,82.92,147.69,105.8,108.52142857142857,105.41033333333333
2021-03-08,P001,Men_Tshirt,Male,B001,Bangalore,67,53.47,0,0,0,1.272,85.27,64.51,20.76,2.7,151.27,0,3,148.77,113.47,88.62,104.49285714285715,105.29866666666666
2021-03-09,P001,Men_Tshirt,Male,B001,Bangalore,68,56.4,1,0,0,1.274,120.78,91.38,29.41,4.96,151.27,1,3,85.27,109.66,123.27,106.08142857142856,105.21566666666668
2021-03-10,P001,Men_Tshirt,Male,B001,Bangalore,69,57.61,0,0,0,1.276,95.43,72.2,23.24,4.64,151.27,2,3,120.78,107.76,108.01,104.32000000000001,104.79633333333332
2021-03-11,P001,Men_Tshirt,Male,B001,Bangalore,70,57.79,0,0,0,1.278,116.92,88.45,28.47,5.77,151.27,3,3,95.43,105.25,90.93,105.98714285714286,105.66266666666667
2021-03-12,P001,Men_Tshirt,Male,B001,Bangalore,71,57.89,0,0,0,1.28,107.93,81.65,26.28,5.11,151.27,4,3,116.92,91.82,94.0,108.28857142857144,106.127
2021-03-13,P001,Men_Tshirt,Male,B001,Bangalore,72,58.68,0,0,0,1.282,108.3,81.93,26.37,3.73,151.27,5,3,107.93,82.92,85.32,111.91428571428571,106.893
2021-03-14,P001,Men_Tshirt,Male,B001,Bangalore,73,57.06,0,0,1,1.284,157.54,119.18,38.36,5.19,151.27,6,3,108.3,148.77,93.72,113.16714285714286,109.02033333333334
2021-03-15,P001,Men_Tshirt,Male,B001,Bangalore,74,57.41,0,0,0,1.285,83.78,63.38,20.4,3.49,151.27,0,3,157.54,85.27,100.85,112.95428571428572,108.45133333333334
2021-03-16,P001,Men_Tshirt,Male,B001,Bangalore,75,57.11,0,0,0,1.287,102.53,77.56,24.96,4.29,151.27,1,3,83.78,120.78,132.32,110.34714285714287,107.45833333333333
2021-03-17,P001,Men_Tshirt,Male,B001,Bangalore,76,56.23,0,0,0,1.288,112.98,85.48,27.51,4.48,151.27,2,3,102.53,95.43,100.35,112.85428571428572,107.87933333333334
2021-03-18,P001,Men_Tshirt,Male,B001,Bangalore,77,56.32,0,0,0,1.29,114.62,86.71,27.91,4.01,151.27,3,3,112.98,116.92,113.96,112.5257142857143,107.90133333333333
2021-03-19,P001,Men_Tshirt,Male,B001,Bangalore,78,55.17,0,0,0,1.291,92.72,70.14,22.58,3.25,151.27,4,3,114.62,107.93,94.37,110.35285714285715,107.84633333333335
2021-03-20,P001,Men_Tshirt,Male,B001,Bangalore,79,55.13,0,0,0,1.292,128.24,97.02,31.22,5.75,151.27,5,3,92.72,108.3,103.83,113.20142857142858,108.66000000000001
2021-03-21,P001,Men_Tshirt,Male,B001,Bangalore,80,57.94,0,0,1,1.293,155.25,117.45,37.8,6.97,151.27,6,3,128.24,157.54,106.03,112.87428571428573,110.30066666666667
2021-03-22,P001,Men_Tshirt,Male,B001,Bangalore,81,58.2,0,0,0,1.294,89.15,67.45,21.71,3.39,151.27,0,3,155.25,83.78,95.56,113.64142857142858,110.087
2021-03-23,P001,Men_Tshirt,Male,B001,Bangalore,82,57.27,0,0,0,1.295,91.8,69.45,22.35,3.72,151.27,1,3,89.15,102.53,145.13,112.10857142857142,108.30933333333334
2021-03-24,P001,Men_Tshirt,Male,B001,Bangalore,83,57.0,0,0,0,1.296,114.0,86.24,27.76,5.65,151.27,2,3,91.8,112.98,84.72,112.25428571428571,109.28533333333334
2021-03-25,P001,Men_Tshirt,Male,B001,Bangalore,84,58.01,0,0,0,1.297,81.37,61.56,19.81,2.51,151.27,3,3,114.0,114.62,90.69,107.50428571428571,108.97466666666668
2021-03-26,P001,Men_Tshirt,Male,B001,Bangalore,85,56.1,0,0,0,1.298,108.95,82.42,26.53,3.43,151.27,4,3,81.37,92.72,81.32,109.82285714285715,109.89566666666666
2021-03-27,P001,Men_Tshirt,Male,B001,Bangalore,86,56.69,0,0,0,1.298,107.27,81.15,26.12,3.85,151.27,5,3,108.95,128.24,111.39,106.82714285714285,109.75833333333334
2021-03-28,P001,Men_Tshirt,Male,B001,Bangalore,87,56.52,0,0,1,1.299,167.45,126.68,40.77,8.09,151.27,6,3,107.27,155.25,96.36,108.57000000000001,112.128
2021-03-29,P001,Men_Tshirt,Male,B001,Bangalore,88,57.05,0,0,0,1.299,91.79,69.44,22.35,3.37,151.27,0,3,167.45,89.15,114.22,108.94714285714285,111.38033333333334
2021-03-30,P001,Men_Tshirt,Male,B001,Bangalore,89,56.13,0,0,0,1.3,105.28,79.64,25.63,3.98,151.27,1,3,91.79,91.8,147.69,110.87285714285714,109.96666666666667
2021-03-31,P001,Men_Tshirt,Male,B001,Bangalore,90,56.32,0,0,0,1.3,93.02,70.37,22.65,3.46,151.27,2,3,105.28,114.0,113.47,107.87571428571428,109.285
2021-04-01,P001,Men_Tshirt,Male,B001,Bangalore,91,55.42,0,0,0,1.3,97.27,73.59,23.68,2.98,151.91,3,4,93.02,81.37,109.66,110.14714285714285,108.872
2021-04-02,P001,Men_Tshirt,Male,B001,Bangalore,92,55.49,0,0,0,1.3,94.04,71.14,22.9,3.95,151.91,4,4,97.27,108.95,107.76,108.01714285714286,108.41466666666666
2021-04-03,P001,Men_Tshirt,Male,B001,Bangalore,93,56.86,0,0,0,1.3,105.31,79.67,25.64,3.32,151.91,5,4,94.04,107.27,105.25,107.73714285714286,108.41666666666669
2021-04-04,P001,Men_Tshirt,Male,B001,Bangalore,94,58.07,0,0,1,1.3,144.56,109.36,35.2,6.02,151.91,6,4,105.31,167.45,91.82,104.46714285714287,110.17466666666668
2021-04-05,P001,Men_Tshirt,Male,B001,Bangalore,95,58.51,0,0,0,1.3,101.93,77.11,24.82,3.39,151.91,0,4,144.56,91.79,82.92,105.91571428571429,110.80833333333334
2021-04-06,P001,Men_Tshirt,Male,B001,Bangalore,96,56.81,0,0,0,1.299,114.54,86.65,27.89,4.54,151.91,1,4,101.93,105.28,148.77,107.23857142857143,109.66733333333333
2021-04-07,P001,Men_Tshirt,Male,B001,Bangalore,97,58.97,0,0,0,1.299,94.26,71.31,22.95,4.39,151.91,2,4,114.54,93.02,85.27,107.4157142857143,109.96700000000001
2021-04-08,P001,Men_Tshirt,Male,B001,Bangalore,98,57.45,1,0,0,1.299,112.13,84.83,27.3,3.45,151.91,3,4,94.26,97.27,120.78,109.53857142857144,109.67866666666666
2021-04-09,P001,Men_Tshirt,Male,B001,Bangalore,99,56.77,0,0,0,1.298,102.57,77.59,24.97,4.17,151.91,4,4,112.13,94.04,95.43,110.75714285714285,109.91666666666667
2021-04-10,P001,Men_Tshirt,Male,B001,Bangalore,100,57.55,0,0,0,1.297,115.95,87.72,28.23,4.84,151.91,5,4,102.57,105.31,116.92,112.27714285714286,109.88433333333333
2021-04-11,P001,Men_Tshirt,Male,B001,Bangalore,101,58.26,0,0,1,1.297,159.48,120.65,38.83,5.99,151.91,6,4,115.95,144.56,107.93,114.40857142857142,111.60266666666666
2021-04-12,P001,Men_Tshirt,Male,B001,Bangalore,102,56.58,0,0,0,1.296,92.79,70.2,22.59,3.25,151.91,0,4,159.48,101.93,108.3,113.10285714285715,111.08566666666665
2021-04-13,P001,Men_Tshirt,Male,B001,Bangalore,103,56.55,0,0,0,1.295,91.4,69.15,22.25,4.35,151.91,1,4,92.79,114.54,157.54,109.79714285714284,108.881
2021-04-14,P001,Men_Tshirt,Male,B001,Bangalore,104,57.02,0,0,0,1.294,65.25,49.37,15.89,3.04,151.91,2,4,91.4,94.26,83.78,105.65285714285713,108.26333333333334
2021-04-15,P001,Men_Tshirt,Male,B001,Bangalore,105,56.67,1,0,0,1.293,131.21,99.26,31.95,6.48,151.91,3,4,65.25,112.13,102.53,108.37857142857142,109.21933333333332
2021-04-16,P001,Men_Tshirt,Male,B001,Bangalore,106,60.23,0,0,0,1.292,94.25,71.31,22.95,3.62,151.91,4,4,131.21,102.57,112.98,107.19000000000001,108.595
2021-04-17,P001,Men_Tshirt,Male,B001,Bangalore,107,58.71,0,0,0,1.29,118.39,89.57,28.83,5.46,151.91,5,4,94.25,115.95,114.62,107.53857142857143,108.72066666666667
2021-04-18,P001,Men_Tshirt,Male,B001,Bangalore,108,58.24,0,0,1,1.289,148.52,112.36,36.16,7.37,151.91,6,4,118.39,159.48,92.72,105.97285714285714,110.58066666666667
2021-04-19,P001,Men_Tshirt,Male,B001,Bangalore,109,58.78,0,0,0,1.288,115.61,87.46,28.15,4.75,151.91,0,4,148.52,92.79,128.24,109.23285714285714,110.15966666666667
2021-04-20,P001,Men_Tshirt,Male,B001,Bangalore,110,56.8,0,0,0,1.286,101.95,77.13,24.82,4.17,151.91,1,4,115.61,91.4,155.25,110.74000000000001,108.38300000000001
2021-04-21,P001,Men_Tshirt,Male,B001,Bangalore,111,57.2,0,0,0,1.285,107.93,81.65,26.28,3.88,151.91,2,4,101.95,65.25,89.15,116.83714285714288,109.009
2021-04-22,P001,Men_Tshirt,Male,B001,Bangalore,112,57.58,0,0,0,1.283,118.11,89.35,28.76,5.42,151.91,3,4,107.93,131.21,91.8,114.96571428571428,109.886
2021-04-23,P001,Men_Tshirt,Male,B001,Bangalore,113,57.16,1,0,0,1.281,133.29,100.83,32.45,6.05,151.91,4,4,118.11,94.25,114.0,120.54285714285713,110.529
2021-04-24,P001,Men_Tshirt,Male,B001,Bangalore,114,58.71,0,0,0,1.279,93.92,71.05,22.87,3.21,151.91,5,4,133.29,118.39,81.37,117.04714285714286,110.94733333333333
2021-04-25,P001,Men_Tshirt,Male,B001,Bangalore,115,58.37,0,0,1,1.277,117.65,89.0,28.64,4.79,151.91,6,4,93.92,148.52,108.95,112.63714285714285,111.23733333333334
2021-04-26,P001,Men_Tshirt,Male,B001,Bangalore,116,56.06,0,0,0,1.275,121.71,92.08,29.63,4.63,151.91,0,4,117.65,115.61,107.27,113.50857142857144,111.71866666666666
2021-04-27,P001,Men_Tshirt,Male,B001,Bangalore,117,57.97,0,0,0,1.273,89.51,67.72,21.79,3.93,151.91,1,4,121.71,101.95,167.45,111.73142857142857,109.12066666666666
2021-04-28,P001,Men_Tshirt,Male,B001,Bangalore,118,57.05,0,0,0,1.271,108.09,81.77,26.32,4.36,151.91,2,4,89.51,107.93,91.79,111.75428571428573,109.664
2021-04-29,P001,Men_Tshirt,Male,B001,Bangalore,119,57.73,0,0,0,1.269,98.86,74.79,24.07,3.41,151.91,3,4,108.09,118.11,105.28,109.00428571428571,109.45
2021-04-30,P001,Men_Tshirt,Male,B001,Bangalore,120,58.52,0,0,0,1.266,93.0,70.36,22.64,3.44,151.91,4,4,98.86,133.29,93.02,103.24857142857142,109.44933333333333
2021-05-01,P001,Men_Tshirt,Male,B001,Bangalore,121,56.76,0,0,0,1.264,109.89,83.13,26.76,4.47,152.55,5,5,93.0,93.92,97.27,105.53,109.87000000000002
2021-05-02,P001,Men_Tshirt,Male,B001,Bangalore,122,56.99,0,0,1,1.262,153.0,115.75,37.25,4.98,152.55,6,5,109.89,117.65,94.04,110.58,111.83533333333335
2021-05-03,P001,Men_Tshirt,Male,B001,Bangalore,123,55.99,0,0,0,1.259,85.38,64.59,20.79,2.72,152.55,0,5,153.0,121.71,105.31,105.39,111.17099999999999
2021-05-04,P001,Men_Tshirt,Male,B001,Bangalore,124,57.1,0,0,0,1.256,116.08,87.82,28.26,4.67,152.55,1,5,85.38,89.51,144.56,109.18571428571428,110.22166666666666
2021-05-05,P001,Men_Tshirt,Male,B001,Bangalore,125,56.11,0,0,0,1.254,93.14,70.47,22.68,2.8,152.55,2,5,116.08,108.09,101.93,107.04999999999998,109.92866666666667
2021-05-06,P001,Men_Tshirt,Male,B001,Bangalore,126,57.36,0,0,0,1.251,98.32,74.38,23.94,4.0,152.55,3,5,93.14,98.86,114.54,106.97285714285715,109.38799999999999
2021-05-07,P001,Men_Tshirt,Male,B001,Bangalore,127,57.39,0,0,0,1.248,96.04,72.65,23.38,4.34,152.55,4,5,98.32,93.0,94.26,107.40714285714284,109.44733333333333
2021-05-08,P001,Men_Tshirt,Male,B001,Bangalore,128,57.61,0,0,0,1.245,126.86,95.97,30.89,3.96,152.55,5,5,96.04,109.89,112.13,109.83142857142856,109.93833333333333
2021-05-09,P001,Men_Tshirt,Male,B001,Bangalore,129,57.86,0,0,1,1.242,151.76,114.81,36.95,6.83,152.55,6,5,126.86,153.0,102.57,109.6542857142857,111.578
2021-05-10,P001,Men_Tshirt,Male,B001,Bangalore,130,55.42,0,0,0,1.239,84.48,63.91,20.57,2.71,152.55,0,5,151.76,85.38,115.95,109.5257142857143,110.52900000000001
2021-05-11,P001,Men_Tshirt,Male,B001,Bangalore,131,57.98,0,0,0,1.236,88.07,66.63,21.44,3.64,152.55,1,5,84.48,116.08,159.48,105.52428571428571,108.14866666666667
2021-05-12,P001,Men_Tshirt,Male,B001,Bangalore,132,57.56,0,0,0,1.232,80.33,60.77,19.56,2.96,152.55,2,5,88.07,93.14,92.79,103.69428571428571,107.73333333333333
2021-05-13,P001,Men_Tshirt,Male,B001,Bangalore,133,56.88,0,0,0,1.229,74.27,56.18,18.08,3.19,152.55,3,5,80.33,98.32,91.4,100.25857142857141,107.16233333333335
2021-05-14,P001,Men_Tshirt,Male,B001,Bangalore,134,56.61,0,0,0,1.226,119.03,90.05,28.98,5.32,152.55,4,5,74.27,96.04,65.25,103.54285714285713,108.955
2021-05-15,P001,Men_Tshirt,Male,B001,Bangalore,135,58.92,0,0,0,1.222,127.77,96.66,31.11,5.28,152.55,5,5,119.03,126.86,131.21,103.67285714285715,108.84033333333333
2021-05-16,P001,Men_Tshirt,Male,B001,Bangalore,136,56.02,0,0,1,1.219,116.18,87.89,28.29,5.58,152.55,6,5,127.77,151.76,94.25,98.59,109.57133333333334
2021-05-17,P001,Men_Tshirt,Male,B001,Bangalore,137,58.01,0,0,0,1.215,80.57,60.96,19.62,3.22,152.55,0,5,116.18,84.48,118.39,98.03142857142858,108.31066666666666
2021-05-18,P001,Men_Tshirt,Male,B001,Bangalore,138,57.1,0,0,0,1.212,98.22,74.31,23.92,2.96,152.55,1,5,80.57,88.07,148.52,99.48142857142857,106.634
2021-05-19,P001,Men_Tshirt,Male,B001,Bangalore,139,55.88,0,0,0,1.208,87.54,66.22,21.31,3.48,152.55,2,5,98.22,80.33,115.61,100.51142857142858,105.69833333333334
2021-05-20,P001,Men_Tshirt,Male,B001,Bangalore,140,57.49,0,0,0,1.204,100.42,75.97,24.45,3.02,152.55,3,5,87.54,74.27,101.95,104.24714285714286,105.64733333333334
2021-05-21,P001,Men_Tshirt,Male,B001,Bangalore,141,57.84,0,0,0,1.2,92.63,70.07,22.55,4.12,152.55,4,5,100.42,119.03,107.93,100.47571428571429,105.13733333333333
2021-05-22,P001,Men_Tshirt,Male,B001,Bangalore,142,58.28,0,0,0,1.197,109.36,82.73,26.63,4.45,152.55,5,5,92.63,127.77,118.11,97.84571428571428,104.84566666666666
2021-05-23,P001,Men_Tshirt,Male,B001,Bangalore,143,57.23,1,0,1,1.193,180.91,136.86,44.05,6.17,152.55,6,5,109.36,116.18,133.29,107.09285714285714,106.43299999999999
2021-05-24,P001,Men_Tshirt,Male,B001,Bangalore,144,56.39,0,0,0,1.189,97.68,73.9,23.78,3.97,152.55,0,5,180.91,80.57,93.92,109.53714285714285,106.55833333333334
2021-05-25,P001,Men_Tshirt,Male,B001,Bangalore,145,58.2,0,0,0,1.185,100.52,76.05,24.47,3.19,152.55,1,5,97.68,98.22,117.65,109.86571428571429,105.98733333333332
2021-05-26,P001,Men_Tshirt,Male,B001,Bangalore,146,57.34,0,0,0,1.18,98.14,74.24,23.89,3.57,152.55,2,5,100.52,87.54,121.71,111.38,105.20166666666667
2021-05-27,P001,Men_Tshirt,Male,B001,Bangalore,147,58.75,0,0,0,1.176,75.14,56.84,18.29,2.94,152.55,3,5,98.14,100.42,89.51,107.76857142857143,104.72266666666665
2021-05-28,P001,Men_Tshirt,Male,B001,Bangalore,148,59.6,0,0,0,1.172,108.6,82.16,26.44,3.7,152.55,4,5,75.14,92.63,108.09,110.05,104.73966666666665
2021-05-29,P001,Men_Tshirt,Male,B001,Bangalore,149,57.62,0,0,0,1.168,95.13,71.97,23.16,3.12,152.55,5,5,108.6,109.36,98.86,108.01714285714286,104.61533333333334
2021-05-30,P001,Men_Tshirt,Male,B001,Bangalore,150,56.63,0,0,1,1.164,162.11,122.64,39.47,7.44,152.55,6,5,95.13,180.91,93.0,105.33142857142856,106.91900000000001
2021-05-31,P001,Men_Tshirt,Male,B001,Bangalore,151,59.05,0,0,0,1.159,84.52,63.94,20.58,4.11,152.55,0,5,162.11,97.68,109.89,103.45142857142856,106.07333333333332
2021-06-01,P001,Men_Tshirt,Male,B001,Bangalore,152,57.11,0,0,0,1.155,95.02,71.89,23.14,4.22,153.18,1,6,84.52,100.52,153.0,102.66571428571429,104.14066666666666
2021-06-02,P001,Men_Tshirt,Male,B001,Bangalore,153,58.12,0,0,0,1.15,93.45,70.7,22.75,4.3,153.18,2,6,95.02,98.14,85.38,101.99571428571427,104.40966666666667
2021-06-03,P001,Men_Tshirt,Male,B001,Bangalore,154,57.85,0,0,0,1.146,84.47,63.91,20.57,2.93,153.18,3,6,93.45,75.14,116.08,103.32857142857142,103.356
2021-06-04,P001,Men_Tshirt,Male,B001,Bangalore,155,57.6,0,0,0,1.141,94.57,71.54,23.03,3.44,153.18,4,6,84.47,108.6,93.14,101.32428571428571,103.40366666666665
2021-06-05,P001,Men_Tshirt,Male,B001,Bangalore,156,58.27,0,0,0,1.137,114.99,86.99,28.0,4.49,153.18,5,6,94.57,95.13,98.32,104.16142857142856,103.95933333333333
2021-06-06,P001,Men_Tshirt,Male,B001,Bangalore,157,57.66,0,0,1,1.132,134.17,101.5,32.67,5.7,153.18,6,6,114.99,162.11,96.04,100.17,105.23033333333333
2021-06-07,P001,Men_Tshirt,Male,B001,Bangalore,158,59.06,0,0,0,1.128,66.73,50.49,16.25,2.77,153.18,0,6,134.17,84.52,126.86,97.62857142857142,103.22600000000001
2021-06-08,P001,Men_Tshirt,Male,B001,Bangalore,159,55.47,0,0,0,1.123,76.12,57.59,18.53,3.09,153.18,1,6,66.73,95.02,151.76,94.92857142857143,100.70466666666667
2021-06-09,P001,Men_Tshirt,Male,B001,Bangalore,160,58.97,0,0,0,1.118,66.5,50.31,16.19,2.44,153.18,2,6,76.12,93.45,84.48,91.07857142857144,100.10533333333333
2021-06-10,P001,Men_Tshirt,Male,B001,Bangalore,161,58.57,0,0,0,1.113,93.74,70.91,22.82,3.12,153.18,3,6,66.5,84.47,88.07,92.40285714285713,100.29433333333333
2021-06-11,P001,Men_Tshirt,Male,B001,Bangalore,162,58.53,0,0,0,1.109,85.39,64.6,20.79,3.83,153.18,4,6,93.74,94.57,80.33,91.09142857142857,100.46300000000001
2021-06-12,P001,Men_Tshirt,Male,B001,Bangalore,163,58.48,0,0,0,1.104,103.24,78.1,25.14,4.7,153.18,5,6,85.39,114.99,74.27,89.41285714285716,101.42866666666666
2021-06-13,P001,Men_Tshirt,Male,B001,Bangalore,164,56.84,0,0,1,1.099,119.06,90.07,28.99,5.27,153.18,6,6,103.24,134.17,119.03,87.25428571428571,101.42966666666666
2021-06-14,P001,Men_Tshirt,Male,B001,Bangalore,165,57.28,0,0,0,1.094,98.23,74.31,23.92,3.15,153.18,0,6,119.06,66.73,127.77,91.75428571428571,100.445
2021-06-15,P001,Men_Tshirt,Male,B001,Bangalore,166,58.1,0,0,0,1.089,65.14,49.28,15.86,2.55,153.18,1,6,98.23,76.12,116.18,90.18571428571428,98.74366666666668
2021-06-16,P001,Men_Tshirt,Male,B001,Bangalore,167,60.2,0,0,0,1.084,84.08,63.61,20.47,3.43,153.18,2,6,65.14,66.5,80.57,92.69714285714285,98.86066666666667
2021-06-17,P001,Men_Tshirt,Male,B001,Bangalore,168,56.88,0,0,0,1.079,61.82,46.77,15.05,2.81,153.18,3,6,84.08,93.74,98.22,88.13714285714286,97.64733333333332
2021-06-18,P001,Men_Tshirt,Male,B001,Bangalore,169,57.17,0,0,0,1.074,83.07,62.85,20.23,3.43,153.18,4,6,61.82,85.39,87.54,87.80571428571429,97.49833333333332
2021-06-19,P001,Men_Tshirt,Male,B001,Bangalore,170,59.12,0,0,0,1.069,98.99,74.89,24.1,4.61,153.18,5,6,83.07,103.24,100.42,87.19857142857143,97.45066666666665
